Time,Test Feature,Status,Comments
14:41:03,,,Begin executing Suite: Default Suite
14:41:03,,,Begin executing Test: TestArtifact
14:41:03,,,Before Invocation of method: setUp
14:41:03,,,After Invocation of method: setUp
14:41:03,,,Test Status: extendBaseFlow
14:41:03,,,Before Invocation of method: extendBaseFlow
14:41:08,extendBaseFlow,,After Invocation of method: extendBaseFlow
14:41:08,extendBaseFlow,fail,Test Status: extendBaseFlow
14:41:08,extendBaseFlow,fail,Test Context: org.testng.TestRunner@5a18cd76
14:41:08,,,Before Invocation of method: wrapUp
